p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Samsung,TV & Video,//vn-live-05.slatic.net/original/12ff3f23f3f7b851edaca7fffd603597.jpg_720x720q80.jpg_.webp,Non-Mall,[Tp.Hà Nội] Điều Khiển TiVi SAMSUNG,108 đánh giá,46.550 ₫,2,2,6,9,89,4.7,Linh Kiện Điện Tử Chợ Trời Hà Nội,91%,98%,100%
OEM,TV & Video,//vn-live-05.slatic.net/p/b6751e78a757d6bde70f9c9cc2e36a92.jpg_720x720q80.jpg_.webp,Non-Mall,Khung Treo Tivi Cố Định Sát Tường 24 - 55inch Bảo Hành 24 Tháng,5 đánh giá,55.000 ₫,0,0,0,1,4,4.8,Điện Tử Gia Hân,97%,93%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/bceea3a3290fb7d1bbef33b8281e1766.jpg_720x720q80.jpg_.webp,Non-Mall,Nguồn 5V - 2A Loại Tốt - Jack Lớn 5.5 x 2.1mm cho TVbox,18 đánh giá,33.500 ₫,,,,,,,mtu91vn,98%,97%,100%
Samsung,TV & Video,//vn-live-05.slatic.net/p/ade0c4b92ea1ebdb17b133c375169dc2.jpg_720x720q80.jpg_.webp,Non-Mall,Điều khiển giọng nói tivi Samsung RU2019 cho các dòng tivi Samsung từ 2015 đến 2020- Hàng mới chính hãng Tặng kèm Pin,5 đánh giá,547.000 ₫,0,0,0,0,5,5.0,Điện Tử Vũ Gia,93%,94%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/254d5ecb2a5483005367210a59a26688.jpg_720x720q80.jpg_.webp,Non-Mall,[Trục Thép] Giá Treo Màn Hình Máy Tính F01 14 - 17 - 19 - 23 - 27 - 29 - 32 Inch - Giá Treo Tivi Xoay 180 Độ,19 đánh giá,58.000 ₫,1,0,0,2,16,4.7,Kho Hàng Giá Treo Tivi,97%,Không đủ thông tin,100%
OCEM,TV & Video,//vn-live-05.slatic.net/p/da16a00a00770e6cba16eca8be1eb562.jpg_720x720q80.jpg_.webp,Non-Mall,"T.con lai 43W800C, 50W800C",26 đánh giá,348.160 ₫,,,,,,,Thế giới bo mạch TIVI,96%,91%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/19131febce63535578301f828b3d0d7a.png_720x720q80.jpg_.webp,Non-Mall,Điều Khiển TV SONY ĐA NĂNG CÁC ĐỜI TV LED RM ED054,61 đánh giá,29.000 ₫,4,2,1,7,47,4.5,Công Ty Anh Quân,95%,98%,100%
OEM,TV & Video,//vn-live-05.slatic.net/p/e332c7cb1cae48b19ff439f5ce48d86e.jpg_720x720q80.jpg_.webp,Non-Mall,"Set 2 Vỏ Bọc Silicon Bảo Vệ Remote, Điều Khiển TV - Điều Hòa, Chống Hư Hóng, Đổ Nước",29 đánh giá,27.000 ₫,1,0,1,2,25,4.7,Gia dụng mẹ và bé Đà Nẵng,92%,98%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/7507945b6f86e22fac87e1a1029ca9b5.jpg_720x720q80.jpg_.webp,Non-Mall,Chân đế tivi đa năng 19 - 40 inch - Lắp đặt cho mọi hãng tivi,44 đánh giá,145.000 ₫,0,0,2,4,38,4.8,Kho Hàng Giá Treo Tivi,97%,Không đủ thông tin,100%
TCL,TV & Video,//vn-live-05.slatic.net/p/a88f3c54810616996aeb03960d6c2e04.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]TCL 97E - Remote điều khiển tivi TCL thông dụng cho nhiều loại,7 đánh giá,50.000 ₫,0,0,0,0,7,5.0,Kỹ Thuật Phần Cứng - lqv77,97%,88%,100%
