p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/be528a4b1087cc342591ef9d4db6de8c.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Microsoft Surface Go 2 10.5"" Intel Pentium 8GB RAM 128GB SSD - GOLD",Không có đánh giá,11.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/e37afcc23601e37cadf1550ec62721a1.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 6530 Card Rời, i5-3210M, RAM 4G, SSD 128G, VGA NVIDIA Quadro NVS 5200M-1G, Màn 15.6 Full HD",Không có đánh giá,7.400.000 ₫,0,0,0,0,0,0,LaptopLC298,98%,100%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/f3d29754f3ce64b927037df8e0119eff.jpg_720x720q80.jpg_.webp,Non-Mall,DELL XPS 9560 Core i7-7700HQ l RAM 16G l SSD 256G l GTX 1050M l Màn 15' 4k [ BẢO HÀNH 1 - 12 THÁNG ] HÀNG ĐẸP 99%,Không có đánh giá,20.900.000 ₫,0,0,0,0,0,0,Kho Macbook,,Không đủ thông tin,100%
Apple,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab134fe3c4e727092401f3b98292f0a5.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM][Trả góp 0%]Macbook Air M1 2020 13 inch 256GB Ram 8GB - bản  VN phân phối,Không có đánh giá,27.490.000 ₫,0,0,0,0,0,0,iuretailer,85%,Không đủ thông tin,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/7f690ac300d89ca371b7eaebcfb2f5e4.jpg_720x720q80.jpg_.webp,Non-Mall,"DELL INSPIRON N7460 (i7-7500U, 8G, 128+500G, GT940MX, 14IN FHD)",Không có đánh giá,14.790.000 ₫,0,0,0,0,0,0,LAPTOPGAME,94%,100%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/84a984930f37ab180486f65b936715c6.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand NEW HP ENVY x360 2-in-1 15.6"" Touch-Screen i7-10510U 8GB 512GB SSD",Không có đánh giá,16.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/816d70051386ddf3b7bb92054de7a1b6.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 7370 Laptop Văn Phòng Siêu Mỏng Nhẹ, Chạy Êm Như Mac Air, Core M5-6y57, RAM 8G, SSD 256G, VGA Intel HD 615, Màn 13.3 Inch 3K IPS",Không có đánh giá,11.700.000 ₫,0,0,0,0,0,0,Chuyên laptop gaming- đồ hoạ - văn phòng,98%,100%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/cc00c0e896d3d0060d7d95619b3fac53.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New HP Spectre X360 G2 13.3"" Core i7 5th Gen- 2.2GHz - 4GB Ram - 256 GB SSD",Không có đánh giá,18.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/9d4b83f2e65b0c5f43e8ab7227995a74.jpg_720x720q80.jpg_.webp,Non-Mall,DELL XPS 13 9360 Core i7-7600u l i5-7300u l RAM 16GB l SSD 256GB l Màn 13 inch 3K Touch [BẢO HÀNH 3 - 12 THÁNG]  Mới 99%,Không có đánh giá,13.900.000 ₫,0,0,0,0,0,0,Kho Macbook,,Không đủ thông tin,100%
Dell,Máy vi tính & Laptop,https://filebroker-s.slatic.net/Sfca9f75b03ad410bacd1488d40732f9aK.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Chính Hiệu,Không có đánh giá,15.000.000 ₫,0,0,0,0,0,0,Cua Hang Tin Học Thai Trung,,Không đủ thông tin,Không đủ thông tin
OEM,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/99d1253d75f3faa784f460c74314f456.jpg_720x720q80.jpg_.webp,Non-Mall,"Laptop cũ Panasonic cf-nx2 core i5 3320m ram 4g HDD 250 12 inch, cam kết hàng đúng mô tả, chất lượng đảm bảo an toàn đến sức khỏe người sử dụng, đa dạng mẫu mã, màu sắc, kích cỡ",Không có đánh giá,5.796.000 ₫,0,0,0,0,0,0,Dailysho,98%,100%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b87d992773eecbceb697afbf9087dc61.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell M4800 i7 4800MQ/16G/SSD240G/VGA 2G Máy trạm Hàng nhập Khẩu Mỹ giá siêu sốc,Không có đánh giá,16.599.000 ₫,0,0,0,0,0,0,Ntech Electronic,82%,Không đủ thông tin,100%
Dell,Máy vi tính & Laptop,https://filebroker-s.slatic.net/S55a22b75b8cf4d1384dac232f7de59b8h.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell 6440 core i5-4200M ram 4gb ssd 120gb vga,Không có đánh giá,7.850.000 ₫,0,0,0,0,0,0,laptopcuzin,85%,93%,100%
Toshiba,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/4d8b693ac1482201a8e358d44343ce92.jpg_720x720q80.jpg_.webp,Non-Mall,Toshiba Dynabook R632 I5 RAM 4GB 256GB máy nhập. Tặng kèm Cặp Loa Hp,Không có đánh giá,5.800.000 ₫,0,0,0,0,0,0,Của Hàng Bách Hóa 1626318798,,Không đủ thông tin,Không đủ thông tin
Google,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2ece59d5f4a22124de10f61731490ccc.jpg_720x720q80.jpg_.webp,Non-Mall,"Google Pixel Slate, core i5, 8G, 128G, 3K, touch, 12.3in, giá rẻ",Không có đánh giá,15.900.000 ₫,0,0,0,0,0,0,DMQ Royal,100%,85%,100%
OnePlus,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ec69d1bd94b9e41f3f3716edc80706f1.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New OnePlus 9 Pro - 256GB - Morning Mist (Unlocked) Sealed In Box,Không có đánh giá,8.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/756f7f7aeb632324816e1e775f8e0159.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Dell Alienware M17 R4 - 17.3"" 4K UHD i9-10980HK, 32GB RAM, RTX 3080, 1TB SSD",Không có đánh giá,23.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/fe6a89843afb3c73911e3f396a003965.jpg_720x720q80.jpg_.webp,Mall,Laptop Dell Inspiron 15 3511 15.6 inches FHD (Intel / i3-1115G4 / 4GB / 256GB SSD / Office HS19 / Win 10 Home SL) l Black l P112F001ABL l HÀNG CHÍNH HÃNG,Không có đánh giá,14.490.000 ₫,0,0,0,0,0,0,DELL Official Retail Store,88%,100%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/95c5b168504afd9a05e440764836e22a.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New AppleiPhone 12 - 128GB - Blue (Unlocked),Không có đánh giá,13.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/bee75dd389dd47f2ef25e4cb079dcdb8.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Microsoft Surface Book 3 15"" 10th i7 - 32GB RAM 512GB - GTX 1660 Ti - SEALED",Không có đánh giá,15.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a1923f85662bf37637f355922735fcc5.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Dell XPS 13 7390 i7-10710U 512GB SSD 16GB RAM Platinum silver Windows 10 Pro,Không có đánh giá,16.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a36a6c7988a2a99ca05b4c00771b2e8f.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New 2019 AppleMacBook Pro 16” Retina Display 2.3GHz Core i9 AMD Radeon Pro 5500M 16GB 1TB SSD Silver,Không có đánh giá,27.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Samsung,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/0d7a9926022d7bfb5885f246dd25671d.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Samsung Galaxy Book Pro 360 13.3"" 256GB SSD, Intel Core i7 11th Gen., 4.70 GHz",Không có đánh giá,15.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/6dac1c83a5059915c7a84034d0d41a68.png_720x720q80.jpg_.webp,Non-Mall,"Máy tính xách tay HP 15s-du1105TU, Core i3-10110U,4GB RAM,256GB SSD,Intel Graphics,15.6''HD - Hàng chính hãng - Bảo hành 1 năm",Không có đánh giá,12.490.000 ₫,0,0,0,0,0,0,HP Flagship Store,93%,100%,100%
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/4536baef82a14deee33554c69f1e11f9.jpg_720x720q80.jpg_.webp,Non-Mall,Màn hình LCD Dell P2721Q/ 27 inch 4K/ USB Type C/ 3Yrs,Không có đánh giá,10.533.060 ₫,,,,,,,Ben Computer Store,94%,90%,100%
